pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
cool,11/21/2025,F,CTRL.WTH.60_P4_C,0.0265,CTRL.WTH.44_P2_C,,A.C.40,,DONE,6,yes,,12,228,240,DONE,1293,Y,3A11,,
cool,11/21/2025,F,WARM.WTH.44_P3_C,0.0333,WARM.WTH.42_P4_C,,W.C.41,,DONE,11,yes,,0,34,34,DONE,9156,Y,,,
cool,11/21/2025,M,WARM.WTH.42_P4_C,,WARM.WTH.44_P3_C,,W.C.41,,DONE,11,yes,,,,,,,,,,
cool,11/21/2025,F,HOT.WTH.25_P5_C,0.0305,HOT.WTH.157_P4_C,,H.C.42,,DONE,11,yes,,16,162,178,DONE,7215,Y,3A6,,
cool,11/21/2025,F,F4.WARM.HOT_P1_C,0.0434,F1.WARM.HOT_P8_C,,W.H.C.43,,DONE,11,yes,,51,283,334,,,Y,3A8,,
cool,11/21/2025,F,CTRL.WTH.29_P5_C,0.0291,CTRL.WTH.114_P2_C,,A.C.44,,DONE,11,yes,,18,136,154,DONE,9468,Y,,,
cool,11/21/2025,M,CTRL.WTH.114_P2_C,,CTRL.WTH.29_P5_C,,A.C.44,,DONE,11,yes,,,,,,,,,,
cool,11/21/2025,M,F1.HOT.HOT_P7_C,,F5.CTRL.HOT_P7_C,,A.H.C.73,,DONE,6,yes,,,,,,,,,,
cool,11/21/2025,M,HOT.WTH.106_P1_C,,HOT.WTH.114_P2_C,,H.C.86,,DONE,18,,,,,,,,,,,
cool,11/21/2025,M,CTRL.WTH.89_P1_C,,CTRL.WTH.89_P1_C,,A.C.56,,DONE,11,yes,,,,,,,,,,
cool,11/21/2025,M,HOT.WTH.96_P9_C,,HOT.WTH.94_P1_C,,H.C.277,,DONE,11,yes,,,,,,,,,,
hot,11/21/2025,F,HOT.WTH.33_P2_H,0.0256,HOT.WTH.117_P2_H,,H.H.46,,DONE,11,yes,,0,0,0,,6966,,,,
ambient,11/21/2025,F,MEAN.WTH.39_P1_A,0.0058,MEAN.WTH.88_P2_A,,M.A.47,,DONE,11,yes,,0,0,0,,8815,,,,
warm,11/21/2025,F,HOT.WTH.16_P5_W,0.0361,HOT.WTH.158_P2_W,,H.W.48,,DONE,11,yes,,3,244,247,DONE,9779,Y,,,
warm,11/21/2025,M,F1.COOL.HOT_P1_W,,F4.COOL.HOT_P2_W,,C.H.W.73,,DONE,11,yes,,,,,,,,,,
warm,11/21/2025,F,HOT.WTH.43_P6_W,0.0284,HOT.WTH.29_P4,,H.W.49,,DONE,11,yes,,10,0,10,DONE,2598,,,,
warm,11/21/2025,F,MEAN.WTH.43_P7_W,0.0093,F2.MEAN.MEAN_P1_W,,M.W.50,,DONE,11,yes,,1,24,25,DONE,2385,,,,
warm,11/21/2025,M,F1.WARM.HOT_P6_W,,HOT.WTH.86_P8_W,,H.W.74,,DONE,11,yes,,,,,,,,,,
